Gun_Vac, Gun_Cross, SRF_Cavity_Vac, HE_Sraight_Vac, Insulating_Vac, E_Station_Vac, BH_OC_Temp, DBA_Pipe_Temp, Cu_Gun_Temp, HE_Straight_Col, DBA_Dump_CHWR, DBA_Dump_CHWS, Tuner_Plate_Temp, Gate_Valve_Downstream_Temp, Gate_Valve_Upstream_Temp, Loop_Bypass_CHWS, Loop_Bypass_CHWR, DBA_Coupler, Coupler_Shoulder, Solenoid_4_Temp, Solenoid_5_Temp
1585902711254.1152, 28.41783928363763, 28.41966673865732, 28.421494193677006, 28.423321648696692, 28.436113833834497, 28.43976874387387, 30101.000857004845, 30105.000857004845, 30103.000857004845, 30111.000857004845, 30311.000857004845, 30309.000857004845, 30109.000857004845, 30267.000857004845, 30263.000857004845, 30297.000857004845, 30299.000857004845, 30261.000857004845, 30211.000857004845, 30269.000857004845, 30271.000857004845
1585902711543.0762, 31.00127921851378, 31.003272805807985, 31.005266393102186, 31.00725998039639, 31.021215091455815, 31.025202266044225, 30101.000934914377, 30105.000934914377, 30103.000934914377, 30111.000934914377, 30311.000934914377, 30309.000934914377, 30109.000934914377, 30267.000934914377, 30263.000934914377, 30297.000934914377, 30299.000934914377, 30261.000934914377, 30211.000934914377, 30269.000934914377, 30271.000934914377
1585902711798.1829, 33.584719153389926, 33.58687887295865, 33.589038592527366, 33.59119831209609, 33.60631634907713, 33.61063578821457, 30101.00101282391, 30105.00101282391, 30103.00101282391, 30111.00101282391, 30311.00101282391, 30309.00101282391, 30109.00101282391, 30267.00101282391, 30263.00101282391, 30297.00101282391, 30299.00101282391, 30261.00101282391, 30211.00101282391, 30269.00101282391, 30271.00101282391
1585902712058.4255, 36.16815908826607, 36.17048494010931, 36.17281079195255, 36.17513664379579, 36.19141760669845, 36.19606931038493, 30101.00109073344, 30105.00109073344, 30103.00109073344, 30111.00109073344, 30311.00109073344, 30309.00109073344, 30109.00109073344, 30267.00109073344, 30263.00109073344, 30297.00109073344, 30299.00109073344, 30261.00109073344, 30211.00109073344, 30269.00109073344, 30271.00109073344
1585902712320.772, 38.75159902314223, 38.75409100725998, 38.75658299137773, 38.75907497549549, 38.77651886431977, 38.781502832555276, 30101.00116864297, 30105.00116864297, 30103.00116864297, 30111.00116864297, 30311.00116864297, 30309.00116864297, 30109.00116864297, 30267.00116864297, 30263.00116864297, 30297.00116864297, 30299.00116864297, 30261.00116864297, 30211.00116864297, 30269.00116864297, 30271.00116864297
1585902712584.418, 41.33503895801837, 41.33769707441064, 41.34035519080292, 41.343013307195186, 41.36162012194109, 41.36693635472563, 30101.001246552503, 30105.001246552503, 30103.001246552503, 30111.001246552503, 30311.001246552503, 30309.001246552503, 30109.001246552503, 30267.001246552503, 30263.001246552503, 30297.001246552503, 30299.001246552503, 30261.001246552503, 30211.001246552503, 30269.001246552503, 30271.001246552503
1585902712844.0146, 43.91847889289452, 43.92130314156131, 43.9241273902281, 43.926951638894884, 43.946721379562405, 43.952369876895986, 30101.001324462035, 30105.001324462035, 30103.001324462035, 30111.001324462035, 30311.001324462035, 30309.001324462035, 30109.001324462035, 30267.001324462035, 30263.001324462035, 30297.001324462035, 30299.001324462035, 30261.001324462035, 30211.001324462035, 30269.001324462035, 30271.001324462035
1585902713107.644, 46.501918827770666, 46.50490920871197, 46.50789958965328, 46.51088997059458, 46.53182263718372, 46.537803399066334, 30101.001402371567, 30105.001402371567, 30103.001402371567, 30111.001402371567, 30311.001402371567, 30309.001402371567, 30109.001402371567, 30267.001402371567, 30263.001402371567, 30297.001402371567, 30299.001402371567, 30261.001402371567, 30211.001402371567, 30269.001402371567, 30271.001402371567
1585902713367.2573, 49.08535876264682, 49.08851527586264, 49.09167178907846, 49.09482830229428, 49.11692389480504, 49.12323692123669, 30101.0014802811, 30105.0014802811, 30103.0014802811, 30111.0014802811, 30311.0014802811, 30309.0014802811, 30109.0014802811, 30267.0014802811, 30263.0014802811, 30297.0014802811, 30299.0014802811, 30261.0014802811, 30211.0014802811, 30269.0014802811, 30271.0014802811
1585902713620.6614, 51.668798697522966, 51.67212134301331, 51.675443988503645, 51.67876663399399, 51.70202515242636, 51.70867044340704, 30101.00155819063, 30105.00155819063, 30103.00155819063, 30111.00155819063, 30311.00155819063, 30309.00155819063, 30109.00155819063, 30267.00155819063, 30263.00155819063, 30297.00155819063, 30299.00155819063, 30261.00155819063, 30211.00155819063, 30269.00155819063, 30271.00155819063
1585902713888.809, 54.25223863239911, 54.25572741016397, 54.25921618792883, 54.262704965693686, 54.28712641004768, 54.29410396557739, 30101.00163610016, 30105.00163610016, 30103.00163610016, 30111.00163610016, 30311.00163610016, 30309.00163610016, 30109.00163610016, 30267.00163610016, 30263.00163610016, 30297.00163610016, 30299.00163610016, 30261.00163610016, 30211.00163610016, 30269.00163610016, 30271.00163610016
1585902714154.4526, 56.83567856727526, 56.83933347731464, 56.84298838735401, 56.846643297393385, 56.872227667668994, 56.87953748774774, 30101.001714009693, 30105.001714009693, 30103.001714009693, 30111.001714009693, 30311.001714009693, 30309.001714009693, 30109.001714009693, 30267.001714009693, 30263.001714009693, 30297.001714009693, 30299.001714009693, 30261.001714009693, 30211.001714009693, 30269.001714009693, 30271.001714009693
1585902714430.8962, 59.41911850215141, 59.4229395444653, 59.42676058677919, 59.43058162909308, 59.45732892529031, 59.464971009918095, 30101.001791919225, 30105.001791919225, 30103.001791919225, 30111.001791919225, 30311.001791919225, 30309.001791919225, 30109.001791919225, 30267.001791919225, 30263.001791919225, 30297.001791919225, 30299.001791919225, 30261.001791919225, 30211.001791919225, 30269.001791919225, 30271.001791919225
1585902714689.0715, 62.00255843702756, 62.00654561161597, 62.01053278620437, 62.01451996079278, 62.04243018291163, 62.05040453208845, 30101.001869828753, 30105.001869828753, 30103.001869828753, 30111.001869828753, 30311.001869828753, 30309.001869828753, 30109.001869828753, 30267.001869828753, 30263.001869828753, 30297.001869828753, 30299.001869828753, 30261.001869828753, 30211.001869828753, 30269.001869828753, 30271.001869828753
1585902714970.8416, 64.58599837190371, 64.59015167876663, 64.59430498562956, 64.59845829249248, 64.62753144053295, 64.6358380542588, 30101.001947738285, 30105.001947738285, 30103.001947738285, 30111.001947738285, 30311.001947738285, 30309.001947738285, 30109.001947738285, 30267.001947738285, 30263.001947738285, 30297.001947738285, 30299.001947738285, 30261.001947738285, 30211.001947738285, 30269.001947738285, 30271.001947738285
1585902715225.1968, 67.16943830677985, 67.1737577459173, 67.17807718505473, 67.18239662419218, 67.21263269815427, 67.22127157642915, 30101.002025647816, 30105.002025647816, 30103.002025647816, 30111.002025647816, 30311.002025647816, 30309.002025647816, 30109.002025647816, 30267.002025647816, 30263.002025647816, 30297.002025647816, 30299.002025647816, 30261.002025647816, 30211.002025647816, 30269.002025647816, 30271.002025647816
1585902715493.117, 69.752878241656, 69.75736381306797, 69.76184938447992, 69.76633495589188, 69.79773395577558, 69.80670509859951, 30101.002103557348, 30105.002103557348, 30103.002103557348, 30111.002103557348, 30311.002103557348, 30309.002103557348, 30109.002103557348, 30267.002103557348, 30263.002103557348, 30297.002103557348, 30299.002103557348, 30261.002103557348, 30211.002103557348, 30269.002103557348, 30271.002103557348
1585902715761.3982, 72.33631817653215, 72.34096988021862, 72.3456215839051, 72.35027328759158, 72.3828352133969, 72.39213862076986, 30101.00218146688, 30105.00218146688, 30103.00218146688, 30111.00218146688, 30311.00218146688, 30309.00218146688, 30109.00218146688, 30267.00218146688, 30263.00218146688, 30297.00218146688, 30299.00218146688, 30261.00218146688, 30211.00218146688, 30269.00218146688, 30271.00218146688
1585902716021.7979, 74.9197581114083, 74.92457594736929, 74.92939378333028, 74.93421161929128, 74.96793647101822, 74.9775721429402, 30101.00225937641, 30105.00225937641, 30103.00225937641, 30111.00225937641, 30311.00225937641, 30309.00225937641, 30109.00225937641, 30267.00225937641, 30263.00225937641, 30297.00225937641, 30299.00225937641, 30261.00225937641, 30211.00225937641, 30269.00225937641, 30271.00225937641
1585902716289.536, 77.50319804628445, 77.50818201451996, 77.51316598275547, 77.51814995099097, 77.55303772863954, 77.56300566511055, 30101.002337285943, 30105.002337285943, 30103.002337285943, 30111.002337285943, 30311.002337285943, 30309.002337285943, 30109.002337285943, 30267.002337285943, 30263.002337285943, 30297.002337285943, 30299.002337285943, 30261.002337285943, 30211.002337285943, 30269.002337285943, 30271.002337285943
1585902716543.5427, 80.08663798116059, 80.09178808167063, 80.09693818218065, 80.10208828269067, 80.13813898626086, 80.14843918728091, 30101.002415195475, 30105.002415195475, 30103.002415195475, 30111.002415195475, 30311.002415195475, 30309.002415195475, 30109.002415195475, 30267.002415195475, 30263.002415195475, 30297.002415195475, 30299.002415195475, 30261.002415195475, 30211.002415195475, 30269.002415195475, 30271.002415195475
1585902716802.5112, 82.67007791603675, 82.67539414882128, 82.68071038160583, 82.68602661439037, 82.72324024388217, 82.73387270945126, 30101.002493105007, 30105.002493105007, 30103.002493105007, 30111.002493105007, 30311.002493105007, 30309.002493105007, 30109.002493105007, 30267.002493105007, 30263.002493105007, 30297.002493105007, 30299.002493105007, 30261.002493105007, 30211.002493105007, 30269.002493105007, 30271.002493105007
1585902717062.4841, 85.2535178509129, 85.25900021597195, 85.26448258103102, 85.26996494609007, 85.30834150150349, 85.31930623162161, 30101.00257101454, 30105.00257101454, 30103.00257101454, 30111.00257101454, 30311.00257101454, 30309.00257101454, 30109.00257101454, 30267.00257101454, 30263.00257101454, 30297.00257101454, 30299.00257101454, 30261.00257101454, 30211.00257101454, 30269.00257101454, 30271.00257101454
1585902717319.7114, 87.83695778578904, 87.84260628312262, 87.8482547804562, 87.85390327778977, 87.89344275912481, 87.90473975379197, 30101.00264892407, 30105.00264892407, 30103.00264892407, 30111.00264892407, 30311.00264892407, 30309.00264892407, 30109.00264892407, 30267.00264892407, 30263.00264892407, 30297.00264892407, 30299.00264892407, 30261.00264892407, 30211.00264892407, 30269.00264892407, 30271.00264892407
1585902717581.325, 90.42039772066519, 90.42621235027329, 90.43202697988139, 90.43784160948947, 90.47854401674613, 90.49017327596232, 30101.0027268336, 30105.0027268336, 30103.0027268336, 30111.0027268336, 30311.0027268336, 30309.0027268336, 30109.0027268336, 30267.0027268336, 30263.0027268336, 30297.0027268336, 30299.0027268336, 30261.0027268336, 30211.0027268336, 30269.0027268336, 30271.0027268336
1585902717846.8413, 93.00383765554133, 93.00981841742394, 93.01579917930655, 93.02177994118917, 93.06364527436745, 93.07560679813267, 30101.002804743133, 30105.002804743133, 30103.002804743133, 30111.002804743133, 30311.002804743133, 30309.002804743133, 30109.002804743133, 30267.002804743133, 30263.002804743133, 30297.002804743133, 30299.002804743133, 30261.002804743133, 30211.002804743133, 30269.002804743133, 30271.002804743133
1585902718109.714, 95.58727759041749, 95.59342448457461, 95.59957137873174, 95.60571827288886, 95.64874653198876, 95.66104032030302, 30101.002882652665, 30105.002882652665, 30103.002882652665, 30111.002882652665, 30311.002882652665, 30309.002882652665, 30109.002882652665, 30267.002882652665, 30263.002882652665, 30297.002882652665, 30299.002882652665, 30261.002882652665, 30211.002882652665, 30269.002882652665, 30271.002882652665
1585902718377.8542, 98.17071752529364, 98.17703055172528, 98.18334357815692, 98.18965660458856, 98.23384778961008, 98.24647384247338, 30101.002960562197, 30105.002960562197, 30103.002960562197, 30111.002960562197, 30311.002960562197, 30309.002960562197, 30109.002960562197, 30267.002960562197, 30263.002960562197, 30297.002960562197, 30299.002960562197, 30261.002960562197, 30211.002960562197, 30269.002960562197, 30271.002960562197
1585902718646.8845, 100.75415746016978, 100.76063661887595, 100.7671157775821, 100.77359493628828, 100.8189490472314, 100.83190736464373, 30101.00303847173, 30105.00303847173, 30103.00303847173, 30111.00303847173, 30311.00303847173, 30309.00303847173, 30109.00303847173, 30267.00303847173, 30263.00303847173, 30297.00303847173, 30299.00303847173, 30261.00303847173, 30211.00303847173, 30269.00303847173, 30271.00303847173
1585902718902.1323, 103.33759739504593, 103.34424268602662, 103.35088797700729, 103.35753326798798, 103.40405030485272, 103.41734088681407, 30101.003116381256, 30105.003116381256, 30103.003116381256, 30111.003116381256, 30311.003116381256, 30309.003116381256, 30109.003116381256, 30267.003116381256, 30263.003116381256, 30297.003116381256, 30299.003116381256, 30261.003116381256, 30211.003116381256, 30269.003116381256, 30271.003116381256
1585902719167.1848, 105.92103732992209, 105.92784875317727, 105.93466017643247, 105.94147159968767, 105.98915156247404, 106.00277440898444, 30101.003194290788, 30105.003194290788, 30103.003194290788, 30111.003194290788, 30311.003194290788, 30309.003194290788, 30109.003194290788, 30267.003194290788, 30263.003194290788, 30297.003194290788, 30299.003194290788, 30261.003194290788, 30211.003194290788, 30269.003194290788, 30271.003194290788
1585902719421.3386, 108.50447726479823, 108.51145482032794, 108.51843237585766, 108.52540993138737, 108.57425282009535, 108.58820793115478, 30101.00327220032, 30105.00327220032, 30103.00327220032, 30111.00327220032, 30311.00327220032, 30309.00327220032, 30109.00327220032, 30267.00327220032, 30263.00327220032, 30297.00327220032, 30299.00327220032, 30261.00327220032, 30211.00327220032, 30269.00327220032, 30271.00327220032
1585902719685.2173, 111.08791719967438, 111.09506088747861, 111.10220457528284, 111.10934826308707, 111.15935407771667, 111.17364145332513, 30101.00335010985, 30105.00335010985, 30103.00335010985, 30111.00335010985, 30311.00335010985, 30309.00335010985, 30109.00335010985, 30267.00335010985, 30263.00335010985, 30297.00335010985, 30299.00335010985, 30261.00335010985, 30211.00335010985, 30269.00335010985, 30271.00335010985
1585902719953.9048, 113.67135713455052, 113.67866695462928, 113.68597677470802, 113.69328659478677, 113.74445533533799, 113.75907497549548, 30101.003428019383, 30105.003428019383, 30103.003428019383, 30111.003428019383, 30311.003428019383, 30309.003428019383, 30109.003428019383, 30267.003428019383, 30263.003428019383, 30297.003428019383, 30299.003428019383, 30261.003428019383, 30211.003428019383, 30269.003428019383, 30271.003428019383
1585902720217.0247, 116.25479706942667, 116.26227302177993, 116.26974897413321, 116.27722492648647, 116.3295565929593, 116.34450849766584, 30101.003505928915, 30105.003505928915, 30103.003505928915, 30111.003505928915, 30311.003505928915, 30309.003505928915, 30109.003505928915, 30267.003505928915, 30263.003505928915, 30297.003505928915, 30299.003505928915, 30261.003505928915, 30211.003505928915, 30269.003505928915, 30271.003505928915
1585902720476.6978, 118.83823700430283, 118.8458790889306, 118.85352117355838, 118.86116325818617, 118.91465785058062, 118.92994201983619, 30101.003583838447, 30105.003583838447, 30103.003583838447, 30111.003583838447, 30311.003583838447, 30309.003583838447, 30109.003583838447, 30267.003583838447, 30263.003583838447, 30297.003583838447, 30299.003583838447, 30261.003583838447, 30211.003583838447, 30269.003583838447, 30271.003583838447
1585902720757.4155, 121.42167693917897, 121.42948515608127, 121.43729337298356, 121.44510158988587, 121.49975910820194, 121.51537554200654, 30101.00366174798, 30105.00366174798, 30103.00366174798, 30111.00366174798, 30311.00366174798, 30309.00366174798, 30109.00366174798, 30267.00366174798, 30263.00366174798, 30297.00366174798, 30299.00366174798, 30261.00366174798, 30211.00366174798, 30269.00366174798, 30271.00366174798
1585902721021.7195, 124.00511687405512, 124.01309122323194, 124.02106557240874, 124.02903992158556, 124.08486036582326, 124.1008090641769, 30101.00373965751, 30105.00373965751, 30103.00373965751, 30111.00373965751, 30311.00373965751, 30309.00373965751, 30109.00373965751, 30267.00373965751, 30263.00373965751, 30297.00373965751, 30299.00373965751, 30261.00373965751, 30211.00373965751, 30269.00373965751, 30271.00373965751
1585902721289.2935, 126.58855680893127, 126.5966972903826, 126.60483777183393, 126.61297825328526, 126.66996162344458, 126.68624258634725, 30101.00381756704, 30105.00381756704, 30103.00381756704, 30111.00381756704, 30311.00381756704, 30309.00381756704, 30109.00381756704, 30267.00381756704, 30263.00381756704, 30297.00381756704, 30299.00381756704, 30261.00381756704, 30211.00381756704, 30269.00381756704, 30271.00381756704
1585902721549.0244, 129.17199674380743, 129.18030335753326, 129.18860997125913, 129.19691658498496, 129.2550628810659, 129.2716761085176, 30101.003895476573, 30105.003895476573, 30103.003895476573, 30111.003895476573, 30311.003895476573, 30309.003895476573, 30109.003895476573, 30267.003895476573, 30263.003895476573, 30297.003895476573, 30299.003895476573, 30261.003895476573, 30211.003895476573, 30269.003895476573, 30271.003895476573
1585902721814.6309, 131.75543667868357, 131.76390942468393, 131.7723821706843, 131.78085491668466, 131.84016413868721, 131.85710963068794, 30101.003973386105, 30105.003973386105, 30103.003973386105, 30111.003973386105, 30311.003973386105, 30309.003973386105, 30109.003973386105, 30267.003973386105, 30263.003973386105, 30297.003973386105, 30299.003973386105, 30261.003973386105, 30211.003973386105, 30269.003973386105, 30271.003973386105
1585902722085.1194, 134.3388766135597, 134.3475154918346, 134.35615437010946, 134.36479324838436, 134.42526539630853, 134.4425431528583, 30101.004051295637, 30105.004051295637, 30103.004051295637, 30111.004051295637, 30311.004051295637, 30309.004051295637, 30109.004051295637, 30267.004051295637, 30263.004051295637, 30297.004051295637, 30299.004051295637, 30261.004051295637, 30211.004051295637, 30269.004051295637, 30271.004051295637
1585902722341.5825, 136.92231654843587, 136.93112155898527, 136.93992656953466, 136.94873158008406, 137.01036665392985, 137.02797667502864, 30101.00412920517, 30105.00412920517, 30103.00412920517, 30111.00412920517, 30311.00412920517, 30309.00412920517, 30109.00412920517, 30267.00412920517, 30263.00412920517, 30297.00412920517, 30299.00412920517, 30261.00412920517, 30211.00412920517, 30269.00412920517, 30271.00412920517
1585902722603.8381, 139.505756483312, 139.51472762613594, 139.52369876895983, 139.53266991178376, 139.59546791155117, 139.61341019719902, 30101.0042071147, 30105.0042071147, 30103.0042071147, 30111.0042071147, 30311.0042071147, 30309.0042071147, 30109.0042071147, 30267.0042071147, 30263.0042071147, 30297.0042071147, 30299.0042071147, 30261.0042071147, 30211.0042071147, 30269.0042071147, 30271.0042071147
1585902722862.0774, 142.08919641818815, 142.09833369328658, 142.10747096838503, 142.11660824348345, 142.1805691691725, 142.19884371936936, 30101.00428502423, 30105.00428502423, 30103.00428502423, 30111.00428502423, 30311.00428502423, 30309.00428502423, 30109.00428502423, 30267.00428502423, 30263.00428502423, 30297.00428502423, 30299.00428502423, 30261.00428502423, 30211.00428502423, 30269.00428502423, 30271.00428502423
1585902723120.9338, 144.6726363530643, 144.68193976043725, 144.6912431678102, 144.70054657518315, 144.7656704267938, 144.7842772415397, 30101.00436293376, 30105.00436293376, 30103.00436293376, 30111.00436293376, 30311.00436293376, 30309.00436293376, 30109.00436293376, 30267.00436293376, 30263.00436293376, 30297.00436293376, 30299.00436293376, 30261.00436293376, 30211.00436293376, 30269.00436293376, 30271.00436293376
1585902723382.2236, 147.25607628794046, 147.2655458275879, 147.2750153672354, 147.28448490688285, 147.35077168441512, 147.36971076371006, 30101.00444084329, 30105.00444084329, 30103.00444084329, 30111.00444084329, 30311.00444084329, 30309.00444084329, 30109.00444084329, 30267.00444084329, 30263.00444084329, 30297.00444084329, 30299.00444084329, 30261.00444084329, 30211.00444084329, 30269.00444084329, 30271.00444084329
1585902723649.3162, 149.8395162228166, 149.84915189473858, 149.85878756666057, 149.86842323858255, 149.93587294203644, 149.9551442858804, 30101.004518752823, 30105.004518752823, 30103.004518752823, 30111.004518752823, 30311.004518752823, 30309.004518752823, 30109.004518752823, 30267.004518752823, 30263.004518752823, 30297.004518752823, 30299.004518752823, 30261.004518752823, 30211.004518752823, 30269.004518752823, 30271.004518752823
1585902723921.5007, 152.42295615769274, 152.43275796188925, 152.44255976608576, 152.45236157028225, 152.52097419965776, 152.54057780805076, 30101.004596662355, 30105.004596662355, 30103.004596662355, 30111.004596662355, 30311.004596662355, 30309.004596662355, 30109.004596662355, 30267.004596662355, 30263.004596662355, 30297.004596662355, 30299.004596662355, 30261.004596662355, 30211.004596662355, 30269.004596662355, 30271.004596662355
1585902724183.4163, 155.0063960925689, 155.01636402903992, 155.02633196551093, 155.03629990198195, 155.10607545727908, 155.1260113302211, 30101.004674571886, 30105.004674571886, 30103.004674571886, 30111.004674571886, 30311.004674571886, 30309.004674571886, 30109.004674571886, 30267.004674571886, 30263.004674571886, 30297.004674571886, 30299.004674571886, 30261.004674571886, 30211.004674571886, 30269.004674571886, 30271.004674571886
1585902724435.3723, 157.58983602744505, 157.5999700961906, 157.6101041649361, 157.62023823368165, 157.6911767149004, 157.71144485239148, 30101.004752481418, 30105.004752481418, 30103.004752481418, 30111.004752481418, 30311.004752481418, 30309.004752481418, 30109.004752481418, 30267.004752481418, 30263.004752481418, 30297.004752481418, 30299.004752481418, 30261.004752481418, 30211.004752481418, 30269.004752481418, 30271.004752481418
1585902724698.7363, 160.17327596232118, 160.18357616334126, 160.1938763643613, 160.20417656538135, 160.2762779725217, 160.29687837456183, 30101.00483039095, 30105.00483039095, 30103.00483039095, 30111.00483039095, 30311.00483039095, 30309.00483039095, 30109.00483039095, 30267.00483039095, 30263.00483039095, 30297.00483039095, 30299.00483039095, 30261.00483039095, 30211.00483039095, 30269.00483039095, 30271.00483039095
1585902724951.9097, 162.75671589719735, 162.76718223049193, 162.77764856378647, 162.78811489708104, 162.86137923014303, 162.88231189673218, 30101.00490830048, 30105.00490830048, 30103.00490830048, 30111.00490830048, 30311.00490830048, 30309.00490830048, 30109.00490830048, 30267.00490830048, 30263.00490830048, 30297.00490830048, 30299.00490830048, 30261.00490830048, 30211.00490830048, 30269.00490830048, 30271.00490830048
1585902725217.3145, 165.3401558320735, 165.35078829764257, 165.36142076321167, 165.37205322878074, 165.44648048776435, 165.46774541890252, 30101.004986210013, 30105.004986210013, 30103.004986210013, 30111.004986210013, 30311.004986210013, 30309.004986210013, 30109.004986210013, 30267.004986210013, 30263.004986210013, 30297.004986210013, 30299.004986210013, 30261.004986210013, 30211.004986210013, 30269.004986210013, 30271.004986210013
1585902725487.8188, 167.92359576694963, 167.93439436479323, 167.94519296263684, 167.95599156048044, 168.03158174538567, 168.05317894107287, 30101.005064119545, 30105.005064119545, 30103.005064119545, 30111.005064119545, 30311.005064119545, 30309.005064119545, 30109.005064119545, 30267.005064119545, 30263.005064119545, 30297.005064119545, 30299.005064119545, 30261.005064119545, 30211.005064119545, 30269.005064119545, 30271.005064119545
1585902725737.8665, 170.5070357018258, 170.5180004319439, 170.52896516206204, 170.53992989218014, 170.61668300300698, 170.63861246324322, 30101.005142029077, 30105.005142029077, 30103.005142029077, 30111.005142029077, 30311.005142029077, 30309.005142029077, 30109.005142029077, 30267.005142029077, 30263.005142029077, 30297.005142029077, 30299.005142029077, 30261.005142029077, 30211.005142029077, 30269.005142029077, 30271.005142029077
1585902726001.2393, 173.09047563670194, 173.10160649909457, 173.1127373614872, 173.12386822387984, 173.2017842606283, 173.22404598541357, 30101.00521993861, 30105.00521993861, 30103.00521993861, 30111.00521993861, 30311.00521993861, 30309.00521993861, 30109.00521993861, 30267.00521993861, 30263.00521993861, 30297.00521993861, 30299.00521993861, 30261.00521993861, 30211.00521993861, 30269.00521993861, 30271.00521993861
1585902726252.0063, 175.67391557157808, 175.68521256624524, 175.6965095609124, 175.70780655557954, 175.78688551824962, 175.80947950758394, 30101.00529784814, 30105.00529784814, 30103.00529784814, 30111.00529784814, 30311.00529784814, 30309.00529784814, 30109.00529784814, 30267.00529784814, 30263.00529784814, 30297.00529784814, 30299.00529784814, 30261.00529784814, 30211.00529784814, 30269.00529784814, 30271.00529784814
